observation_date,CHNPRENEL01MLM
2009-10-01,312104.00000000000
2009-11-01,323409.00000000000
2009-12-01,349780.00000000000
2010-01-01,329500.00000000000
2010-02-01,269590.00000000000
2010-03-01,336950.00000000000
2010-04-01,331640.00000000000
2010-05-01,340470.00000000000
2010-06-01,346660.00000000000
2010-07-01,377640.00000000000
2010-08-01,390330.00000000000
2010-09-01,348650.00000000000
2010-10-01,332880.00000000000
2010-11-01,345340.00000000000
2010-12-01,367780.00000000000
2011-01-01,367780.00000000000
2011-02-01,310080.00000000000
2011-03-01,383010.00000000000
2011-04-01,366380.00000000000
2011-05-01,377540.00000000000
2011-06-01,396820.00000000000
2011-07-01,425150.00000000000
2011-08-01,426040.00000000000
2011-09-01,386060.00000000000
2011-10-01,364040.00000000000
2011-11-01,371330.00000000000
2011-12-01,403810.00000000000
2012-01-01,359365.00000000000
2012-02-01,718730.00000000000
2012-03-01,410920.00000000000
2012-04-01,371820.00000000000
2012-05-01,389810.00000000000
2012-06-01,393350.00000000000
2012-07-01,435120.00000000000
2012-08-01,437280.00000000000
2012-09-01,390730.00000000000
2012-10-01,389770.00000000000
2012-11-01,401050.00000000000
2012-12-01,432700.00000000000
2013-01-01,378660.00000000000
2013-02-01,757320.00000000000
2013-03-01,419429.00000000000
2013-04-01,399440.00000000000
2013-05-01,410410.00000000000
2013-06-01,425261.00000000000
2013-07-01,479452.00000000000
2013-08-01,498700.00000000000
2013-09-01,431036.00000000000
2013-10-01,430515.00000000000
2013-11-01,439182.00000000000
2013-12-01,477963.00000000000
2014-01-01,432810.00000000000
2014-02-01,383358.00000000000
2014-03-01,452768.00000000000
2014-04-01,425022.00000000000
2014-05-01,441594.00000000000
2014-06-01,458100.00000000000
2014-07-01,504800.00000000000
2014-08-01,495930.00000000000
2014-09-01,454172.00000000000
2014-10-01,444641.00000000000
2014-11-01,448721.00000000000
2014-12-01,490218.00000000000
2015-01-01,490700.00000000000
2015-02-01,365390.00000000000
2015-03-01,451061.00000000000
2015-04-01,445026.00000000000
2015-05-01,456218.34000000003
2015-06-01,474526.90000000002
2015-07-01,508961.98999999999
2015-08-01,515530.00000000000
2015-09-01,454780.00000000000
2015-10-01,445354.59999999998
2015-11-01,466040.00000000000
2015-12-01,491030.00000000000
2016-01-01,435085.00000000000
2016-02-01,870200.00000000000
2016-03-01,477884.28999999998
2016-04-01,444450.00000000000
2016-05-01,463590.00000000000
2016-06-01,490790.00000000000
2016-07-01,550610.00000000000
2016-08-01,561720.00000000000
2016-09-01,491280.00000000000
2016-10-01,487580.00000000000
2016-11-01,503410.00000000000
2016-12-01,532890.00000000000
2017-01-01,465765.00000000000
2017-02-01,931530.00000000000
2017-03-01,516890.00000000000
2017-04-01,476720.00000000000
2017-05-01,494700.00000000000
2017-06-01,520299.99999999994
2017-07-01,604740.00000000000
2017-08-01,594550.00000000000
2017-09-01,521960.00000000006
2017-10-01,503810.00000000000
2017-11-01,519630.00000000000
2017-12-01,569860.00000000000
2018-01-01,522725.00000000000
2018-02-01,1045450.00000000000
2018-03-01,528340.00000000000
2018-04-01,510780.00000000000
2018-05-01,544330.00000000000
2018-06-01,555060.00000000000
2018-07-01,640020.00000000000
2018-08-01,640490.00000000000
2018-09-01,548310.00000000000
2018-10-01,533020.00000000000
2018-11-01,554300.00000000000
2018-12-01,619990.00000000000
2019-01-01,549095.00000000000
2019-02-01,1098190.00000000000
2019-03-01,569790.00000000000
2019-04-01,544020.00000000000
2019-05-01,558900.00000000000
2019-06-01,583390.00000000000
2019-07-01,657310.00000000000
2019-08-01,668240.00000000000
2019-09-01,590840.00000000000
2019-10-01,571420.00000000000
2019-11-01,588980.00000000000
2019-12-01,654420.00000000000
2020-01-01,513345.00000000000
2020-02-01,1026690.00000000000
2020-03-01,552510.00000000000
2020-04-01,554270.00000000000
2020-05-01,593240.00000000000
2020-06-01,630410.00000000000
2020-07-01,680120.00000000000
2020-08-01,723830.00000000000
2020-09-01,631520.00000000000
2020-10-01,609450.00000000000
2020-11-01,641870.00000000000
2020-12-01,727720.00000000000
2021-01-01,621385.00000000000
2021-02-01,1242770.00000000000
2021-03-01,657900.00000000000
2021-04-01,623010.00000000000
2021-05-01,647840.00000000000
2021-06-01,686050.00000000000
2021-07-01,758620.00000000000
2021-08-01,738350.00000000000
2021-09-01,675120.00000000000
2021-10-01,639350.00000000000
2021-11-01,654040.00000000000
2021-12-01,723370.00000000000
2022-01-01,657030.00000000000
2022-02-01,1314060.00000000000
2022-03-01,670170.00000000000
2022-04-01,608570.00000000000
2022-05-01,641020.00000000000
2022-06-01,709030.00000000000
2022-07-01,805920.00000000000
2022-08-01,824800.00000000000
2022-09-01,683000.00000000000
2022-10-01,661000.00000000000
2022-11-01,666670.00000000000
2022-12-01,757850.00000000000
2023-01-01,674865.00000000000
2023-02-01,674865.00000000000
2023-03-01,717290.00000000000
2023-04-01,658350.00000000000
2023-05-01,688580.00000000000
2023-06-01,739900.00000000000
2023-07-01,846170.00000000000
2023-08-01,844990.00000000000
2023-09-01,745610.00000000000
2023-10-01,704350.00000000000
2023-11-01,730970.00000000000
