date,labor_force_millions,employment_millions,unemployment_rate
2015-11-01,160.47,152.14,5.19
2015-12-01,160.59,152.18,5.24
2016-01-01,160.64,152.11,5.31
2016-02-01,160.61,152.5,5.05
2016-03-01,160.54,152.28,5.15
2016-04-01,160.48,152.33,5.08
2016-05-01,160.45,152.36,5.04
2016-06-01,160.49,152.65,4.89
2016-07-01,160.62,152.91,4.8
2016-08-01,160.81,153.16,4.76
2016-09-01,161.05,153.38,4.76
2016-10-01,161.28,153.44,4.86
2016-11-01,161.47,153.59,4.88
2016-12-01,161.6,153.84,4.8
2017-01-01,161.64,154.11,4.66
2017-02-01,161.61,153.68,4.91
2017-03-01,161.55,153.71,4.85
2017-04-01,161.48,154.07,4.59
2017-05-01,161.46,154.19,4.5
2017-06-01,161.5,154.1,4.58
2017-07-01,161.62,154.04,4.69
2017-08-01,161.82,154.47,4.54
2017-09-01,162.05,154.69,4.54
2017-10-01,162.28,155.13,4.41
2017-11-01,162.48,155.23,4.46
2017-12-01,162.6,155.19,4.56
2018-01-01,162.64,155.63,4.31
2018-02-01,162.62,155.59,4.32
2018-03-01,162.55,155.55,4.31
2018-04-01,162.49,155.53,4.28
2018-05-01,162.46,155.9,4.04
2018-06-01,162.5,156.08,3.95
2018-07-01,162.63,156.07,4.03
2018-08-01,162.82,156.08,4.14
2018-09-01,163.05,156.29,4.15
2018-10-01,163.29,156.77,3.99
2018-11-01,163.48,156.65,4.18
2018-12-01,163.61,157.11,3.97
2019-01-01,163.65,157.17,3.96
2019-02-01,163.62,157.24,3.9
2019-03-01,163.56,157.16,3.91
2019-04-01,163.49,157.05,3.94
2019-05-01,163.46,157.07,3.91
2019-06-01,163.51,157.47,3.69
2019-07-01,163.63,157.18,3.94
2019-08-01,163.82,157.93,3.6
2019-09-01,164.06,157.97,3.71
2019-10-01,164.29,158.33,3.63
2019-11-01,164.49,158.71,3.51
2019-12-01,164.61,158.7,3.59
2020-01-01,164.65,154.53,6.15
2020-02-01,164.63,149.99,8.89
2020-03-01,164.56,145.78,11.41
2020-04-01,164.49,141.17,14.18
2020-05-01,164.47,142.18,13.55
2020-06-01,164.51,143.21,12.95
2020-07-01,164.64,144.07,12.49
2020-08-01,164.83,144.97,12.05
2020-09-01,165.06,146.0,11.55
2020-10-01,165.3,146.73,11.23
2020-11-01,165.49,147.75,10.72
2020-12-01,165.61,149.0,10.03
2021-01-01,165.66,149.9,9.51
2021-02-01,165.63,151.11,8.77
2021-03-01,165.56,151.39,8.56
2021-04-01,165.5,152.24,8.01
2021-05-01,165.47,152.9,7.6
2021-06-01,165.52,153.62,7.19
2021-07-01,165.64,154.58,6.68
2021-08-01,165.83,155.62,6.16
2021-09-01,166.07,156.62,5.69
2021-10-01,166.3,157.7,5.17
2021-11-01,166.49,158.65,4.71
2021-12-01,166.62,160.27,3.81
2022-01-01,166.66,159.76,4.14
2022-02-01,166.64,159.75,4.13
2022-03-01,166.57,159.77,4.08
2022-04-01,166.5,159.74,4.06
2022-05-01,166.48,159.57,4.15
2022-06-01,166.52,159.93,3.96
2022-07-01,166.64,159.53,4.27
2022-08-01,166.84,160.06,4.06
2022-09-01,167.07,160.47,3.95
2022-10-01,167.3,160.78,3.9
2022-11-01,167.5,161.0,3.88
2022-12-01,167.62,161.32,3.76
2023-01-01,167.67,161.24,3.83
2023-02-01,167.64,161.2,3.84
2023-03-01,167.57,161.12,3.85
2023-04-01,167.51,161.09,3.83
2023-05-01,167.48,161.28,3.7
2023-06-01,167.52,161.61,3.53
2023-07-01,167.65,161.55,3.64
2023-08-01,167.84,161.23,3.94
2023-09-01,168.08,161.55,3.88
2023-10-01,168.31,161.85,3.84
2023-11-01,168.5,162.23,3.72
2023-12-01,168.63,162.15,3.84
2024-01-01,168.67,162.41,3.71
2024-02-01,168.64,162.2,3.82
2024-03-01,168.58,162.04,3.88
2024-04-01,168.51,161.96,3.89
2024-05-01,168.48,161.63,4.07
2024-06-01,168.53,162.11,3.81
2024-07-01,168.65,162.07,3.9
2024-08-01,168.85,162.33,3.86
2024-09-01,169.08,162.49,3.9
2024-10-01,169.31,162.41,4.08
2024-11-01,169.51,162.9,3.9
2024-12-01,169.63,162.49,4.21
2025-01-01,169.67,162.7,4.11
2025-02-01,169.65,162.57,4.17
2025-03-01,169.58,162.43,4.22
2025-04-01,169.52,162.46,4.16
2025-05-01,169.49,162.12,4.35
2025-06-01,169.53,162.36,4.23
2025-07-01,169.66,162.28,4.35
2025-08-01,169.85,162.58,4.28
