phenomenonTime,water depth (m),CTD temperature (°C)
1980-09-05T00:00:00Z,10.0,14.83
1980-09-22T00:00:00Z,10.0,13.7
1980-11-28T00:00:00Z,10.0,7.29
1981-01-07T00:00:00Z,10.0,3.4
1981-02-23T00:00:00Z,10.0,1.18
1981-04-13T00:00:00Z,10.0,4.4
1981-07-01T00:00:00Z,10.0,14.57
1981-10-05T00:00:00Z,10.0,14.41
1982-01-05T00:00:00Z,10.0,1.57
1982-04-13T00:00:00Z,10.0,4.1
1982-08-12T00:00:00Z,10.0,17.98
1982-08-24T00:00:00Z,10.0,11.12
1982-10-11T00:00:00Z,10.0,13.67
1982-12-01T00:00:00Z,10.0,8.28
1983-08-28T00:00:00Z,10.0,19.53
1985-04-09T00:00:00Z,10.0,2.94
1986-01-07T00:00:00Z,10.0,2.47
1986-02-11T00:00:00Z,10.0,-0.41
1986-03-11T00:00:00Z,10.0,-0.2
1986-04-07T00:00:00Z,10.0,1.24
1986-05-22T00:00:00Z,10.0,6.5
1986-06-09T00:00:00Z,10.0,9.13
1986-07-21T00:00:00Z,10.0,12.29
1986-08-07T00:00:00Z,10.0,14.71
1986-09-15T00:00:00Z,10.0,13.38
1986-10-20T00:00:00Z,10.0,11.7
1986-12-02T00:00:00Z,10.0,8.31
1986-12-18T00:00:00Z,10.0,6.71
1987-02-19T00:00:00Z,10.0,-0.16
1987-04-14T00:00:00Z,10.0,2.65
1987-06-18T00:00:00Z,10.0,11.4
1987-09-16T00:00:00Z,10.0,14.68
1987-11-23T00:00:00Z,10.0,8.59
1988-01-18T00:00:00Z,10.0,5.0
1988-04-19T00:00:00Z,10.0,4.52
1988-05-30T00:00:00Z,10.0,9.39
1988-06-20T00:00:00Z,10.0,16.32
1988-07-21T00:00:00Z,10.0,13.39
1988-08-22T00:00:00Z,10.0,11.15
1988-09-14T00:00:00Z,10.0,15.47
1988-10-10T00:00:00Z,10.0,11.91
1988-11-06T00:00:00Z,10.0,8.09
1988-12-08T00:00:00Z,10.0,4.66
1989-01-17T00:00:00Z,10.0,4.39
1989-02-14T00:00:00Z,10.0,4.38
1989-03-08T00:00:00Z,10.0,4.62
1989-04-11T00:00:00Z,10.0,5.74
1989-05-08T00:00:00Z,10.0,9.2
1989-06-13T00:00:00Z,10.0,10.05
1989-07-13T00:00:00Z,10.0,14.29
1989-08-27T00:00:00Z,10.0,16.88
1989-09-12T00:00:00Z,10.0,15.41
1989-10-17T00:00:00Z,10.0,12.63
1989-11-20T00:00:00Z,10.0,8.72
1989-12-18T00:00:00Z,10.0,5.06
1990-01-22T00:00:00Z,10.0,4.38
1990-02-14T00:00:00Z,10.0,4.53
1990-03-13T00:00:00Z,10.0,5.09
1990-04-17T00:00:00Z,10.0,6.62
1990-07-19T00:00:00Z,10.0,16.09
1990-08-21T00:00:00Z,10.0,13.86
1990-09-18T00:00:00Z,10.0,16.13
1990-10-16T00:00:00Z,10.0,12.82
1990-11-14T00:00:00Z,10.0,10.31
1990-12-13T00:00:00Z,10.0,5.16
1991-01-15T00:00:00Z,10.0,4.03
1991-02-13T00:00:00Z,10.0,0.65
1991-03-20T00:00:00Z,10.0,2.68
1991-04-15T00:00:00Z,10.0,3.5
1991-05-21T00:00:00Z,10.0,8.48
1991-06-17T00:00:00Z,10.0,10.02
1991-07-22T00:00:00Z,10.0,15.44
1991-08-14T00:00:00Z,10.0,18.41
1991-09-10T00:00:00Z,10.0,17.09
1991-10-17T00:00:00Z,10.0,13.18
1991-11-12T00:00:00Z,10.0,8.4
1991-12-12T00:00:00Z,10.0,6.04
1992-01-30T00:00:00Z,10.0,3.57
1992-02-11T00:00:00Z,10.0,3.6
1992-02-20T00:00:00Z,10.0,3.14
1992-02-27T00:00:00Z,10.0,3.6
1992-03-04T00:00:00Z,10.0,3.8
1992-03-19T00:00:00Z,10.0,3.9
1992-03-26T00:00:00Z,10.0,4.4
1992-03-30T00:00:00Z,10.0,4.36
1992-04-21T00:00:00Z,10.0,6.18
1992-05-13T00:00:00Z,10.0,7.37
1992-06-16T00:00:00Z,10.0,16.76
1992-07-09T00:00:00Z,10.0,17.04
1992-08-06T00:00:00Z,10.0,14.3
1992-08-17T00:00:00Z,10.0,13.22
1992-08-27T00:00:00Z,10.0,14.0
1992-09-03T00:00:00Z,10.0,13.6
1992-09-09T00:00:00Z,10.0,13.91
1992-09-17T00:00:00Z,10.0,14.7
1992-09-24T00:00:00Z,10.0,14.5
1992-10-01T00:00:00Z,10.0,14.4
1992-10-12T00:00:00Z,10.0,12.28
1992-11-16T00:00:00Z,10.0,7.75
1992-12-15T00:00:00Z,10.0,5.87
1993-01-19T00:00:00Z,10.0,3.55
1993-02-02T00:00:00Z,10.0,3.1
1993-02-10T00:00:00Z,10.0,3.0
1993-02-14T00:00:00Z,10.0,3.03
1993-02-24T00:00:00Z,10.0,2.3
1993-03-04T00:00:00Z,10.0,2.1
1993-03-09T00:00:00Z,10.0,2.1
1993-03-16T00:00:00Z,10.0,2.26
1993-03-24T00:00:00Z,10.0,2.9
1993-03-31T00:00:00Z,10.0,4.1
1993-04-05T00:00:00Z,10.0,4.2
1993-04-15T00:00:00Z,10.0,4.69
1993-04-21T00:00:00Z,10.0,5.7
1993-05-17T00:00:00Z,10.0,11.81
1993-06-14T00:00:00Z,10.0,13.19
1993-07-13T00:00:00Z,10.0,13.25
1993-08-23T00:00:00Z,10.0,15.27
1993-09-16T00:00:00Z,10.0,14.26
1993-10-12T00:00:00Z,10.0,12.47
1993-11-15T00:00:00Z,10.0,7.76
1993-12-16T00:00:00Z,10.0,5.21
1994-01-25T00:00:00Z,10.0,3.73
1994-02-23T00:00:00Z,10.0,0.91
1994-03-15T00:00:00Z,10.0,1.71
1994-04-18T00:00:00Z,10.0,5.73
1994-05-25T00:00:00Z,10.0,11.74
1994-06-21T00:00:00Z,10.0,10.29
1994-07-27T00:00:00Z,10.0,17.54
1994-08-17T00:00:00Z,10.0,18.97
1994-09-18T00:00:00Z,10.0,14.07
1994-10-20T00:00:00Z,10.0,10.45
1994-11-14T00:00:00Z,10.0,8.36
1994-12-12T00:00:00Z,10.0,7.71
1995-01-18T00:00:00Z,10.0,3.18
1995-02-06T00:00:00Z,10.0,3.0
1995-03-21T00:00:00Z,10.0,3.34
1995-04-18T00:00:00Z,10.0,4.07
1995-05-08T00:00:00Z,10.0,11.13
1995-06-08T00:00:00Z,10.0,8.24
1995-07-13T00:00:00Z,10.0,15.36
1995-08-23T00:00:00Z,10.0,16.17
1995-09-13T00:00:00Z,10.0,16.48
1995-10-30T00:00:00Z,10.0,11.97
1995-11-22T00:00:00Z,10.0,7.42
1995-12-13T00:00:00Z,10.0,4.29
1996-01-17T00:00:00Z,10.0,0.88
1996-02-29T00:00:00Z,10.0,-0.81
1996-03-06T00:00:00Z,10.0,-0.7
1996-03-22T00:00:00Z,10.0,-0.36
1996-03-27T00:00:00Z,10.0,-0.5
1996-03-28T00:00:00Z,10.0,-0.33
1996-04-02T00:00:00Z,10.0,0.3
1996-04-11T00:00:00Z,10.0,2.06
1996-05-13T00:00:00Z,10.0,6.54
1996-06-05T00:00:00Z,10.0,8.33
1996-06-27T00:00:00Z,10.0,6.92
1996-07-04T00:00:00Z,10.0,8.1
1996-07-11T00:00:00Z,10.0,14.23
1996-07-18T00:00:00Z,10.0,13.84
1996-07-25T00:00:00Z,10.0,12.02
1996-08-02T00:00:00Z,10.0,12.78
1996-08-08T00:00:00Z,10.0,13.31
1996-08-15T00:00:00Z,10.0,17.19
1996-08-21T00:00:00Z,10.0,17.18
1996-08-29T00:00:00Z,10.0,18.52
1996-09-12T00:00:00Z,10.0,16.19
1996-09-19T00:00:00Z,10.0,15.11
1996-09-26T00:00:00Z,10.0,13.75
1996-10-16T00:00:00Z,10.0,12.92
1996-11-12T00:00:00Z,10.0,9.96
1996-12-10T00:00:00Z,10.0,6.28
1997-01-15T00:00:00Z,10.0,0.94
1997-02-11T00:00:00Z,10.0,1.72
1997-02-18T00:00:00Z,10.0,2.85
1997-02-25T00:00:00Z,10.0,3.41
1997-03-04T00:00:00Z,10.0,3.58
1997-03-11T00:00:00Z,10.0,3.76
1997-03-17T00:00:00Z,10.0,4.29
1997-03-24T00:00:00Z,10.0,3.73
1997-04-04T00:00:00Z,10.0,5.0
1997-04-14T00:00:00Z,10.0,5.45
1997-04-15T00:00:00Z,10.0,5.43
1997-04-17T00:00:00Z,10.0,5.62
1997-04-18T00:00:00Z,10.0,5.9
1997-04-30T00:00:00Z,10.0,6.57
1997-05-06T00:00:00Z,10.0,5.9
1997-05-30T00:00:00Z,10.0,10.42
1997-06-05T00:00:00Z,10.0,11.08
1997-06-18T00:00:00Z,10.0,15.46
1997-07-02T00:00:00Z,10.0,13.53
1997-07-09T00:00:00Z,10.0,17.87
1997-07-15T00:00:00Z,10.0,12.43
1997-07-23T00:00:00Z,10.0,18.4
1997-07-30T00:00:00Z,10.0,18.23
1997-08-05T00:00:00Z,10.0,19.9
1997-08-12T00:00:00Z,10.0,14.91
1997-08-18T00:00:00Z,10.0,19.34
1997-08-25T00:00:00Z,10.0,18.96
1997-09-01T00:00:00Z,10.0,18.38
1997-09-08T00:00:00Z,10.0,14.93
1997-09-18T00:00:00Z,10.0,14.26
1997-09-25T00:00:00Z,9.0,14.44
1997-10-22T00:00:00Z,10.0,11.76
1997-11-13T00:00:00Z,10.0,8.73
1997-12-10T00:00:00Z,10.0,6.1
1998-01-14T00:00:00Z,10.0,5.0
1998-02-12T00:00:00Z,10.0,4.8
1998-02-25T00:00:00Z,10.0,5.2
1998-03-11T00:00:00Z,10.0,4.24
1998-03-26T00:00:00Z,10.0,4.27
1998-04-01T00:00:00Z,10.0,4.71
1998-04-22T00:00:00Z,10.0,5.97
1998-05-11T00:00:00Z,9.0,8.58
1998-06-10T00:00:00Z,10.0,10.27
1998-06-25T00:00:00Z,10.0,11.38
1998-07-02T00:00:00Z,10.0,13.68
1998-07-08T00:00:00Z,10.0,15.28
1998-07-15T00:00:00Z,10.0,11.21
1998-07-22T00:00:00Z,10.0,12.41
1998-07-29T00:00:00Z,10.0,15.19
1998-08-11T00:00:00Z,10.0,16.83
1998-08-19T00:00:00Z,10.0,17.36
1998-08-26T00:00:00Z,10.0,16.07
1998-09-01T00:00:00Z,10.0,16.42
1998-09-08T00:00:00Z,9.0,15.03
1998-09-16T00:00:00Z,10.0,14.91
1998-09-21T00:00:00Z,10.0,14.51
1998-10-15T00:00:00Z,10.0,11.56
1999-01-26T09:51:00Z,10.0,4.08
1999-02-12T09:00:00Z,10.0,2.36
1999-03-25T09:00:00Z,10.0,3.23
1999-04-27T07:54:00Z,10.0,4.57
1999-05-25T12:57:00Z,10.0,9.56
1999-06-18T07:55:00Z,10.0,13.62
1999-07-15T08:00:00Z,10.0,16.37
1999-08-17T07:52:00Z,10.0,15.0
1999-09-17T00:00:00Z,10.0,17.09
1999-10-18T07:55:00Z,10.0,13.3
1999-11-16T08:52:00Z,10.0,8.77
1999-12-15T10:43:00Z,10.0,6.3
2000-01-18T10:40:00Z,10.0,4.07
2000-02-08T10:20:00Z,10.0,3.93
2000-03-15T10:10:00Z,10.0,4.09
2000-04-17T10:50:00Z,10.0,5.53
2000-05-17T10:10:00Z,10.0,10.6
2000-06-28T09:00:00Z,10.0,14.25
2000-07-12T09:40:00Z,10.0,10.18
2000-08-08T10:20:00Z,10.0,16.77
2000-09-27T09:30:00Z,10.0,13.8
2000-10-24T08:37:00Z,10.0,12.65
2000-11-28T09:43:00Z,10.0,8.79
2000-12-18T09:38:00Z,10.0,8.23
2001-01-16T09:47:00Z,10.0,4.02
2001-02-15T09:48:00Z,10.0,2.82
2001-03-13T09:36:00Z,10.0,3.28
2001-04-18T08:37:00Z,10.0,4.51
2001-05-31T09:08:00Z,10.0,12.09
2001-06-28T00:00:00Z,10.0,10.92
2001-07-11T09:45:00Z,10.0,13.45
2001-08-09T09:00:00Z,10.0,10.59
2001-09-10T00:00:00Z,10.0,16.03
2001-10-16T08:08:00Z,10.0,13.93
2001-11-06T09:15:00Z,10.0,11.63
2002-01-08T15:05:00Z,10.0,2.44
2002-03-11T09:39:00Z,10.0,4.38
2002-04-10T09:13:00Z,10.0,5.94
2002-05-21T00:00:00Z,10.0,10.48
2002-06-18T10:31:00Z,10.0,14.94
2002-07-09T00:00:00Z,10.0,12.94
2002-08-20T00:00:00Z,10.0,18.73
2002-09-17T08:43:00Z,10.0,19.29
2002-10-15T00:00:00Z,10.0,12.04
2002-11-19T00:00:00Z,10.0,7.67
2002-12-17T00:00:00Z,10.0,3.54
2003-01-23T10:41:00Z,10.0,1.88
2003-02-18T09:27:00Z,10.0,0.36
2003-03-11T09:52:00Z,10.0,1.3
2003-04-24T11:30:00Z,10.0,7.18
2003-05-13T10:37:00Z,10.0,7.92
2003-06-17T10:32:00Z,10.0,10.88
2003-07-15T08:13:00Z,10.0,14.78
2003-08-13T08:51:00Z,10.0,21.29
2003-09-08T08:29:00Z,10.0,17.04
2003-10-14T08:52:00Z,10.0,12.85
2003-11-12T10:29:00Z,10.0,8.85
2003-12-04T09:44:00Z,10.0,8.34
2004-01-20T10:49:00Z,10.0,3.43
2004-02-18T09:45:00Z,10.0,2.98
2004-03-16T09:49:00Z,10.0,2.62
2004-04-15T09:36:00Z,10.0,5.27
2004-05-11T10:50:00Z,10.0,9.6
2004-06-21T10:37:00Z,10.0,11.85
2004-07-13T10:35:00Z,10.0,13.03
2004-08-10T08:38:00Z,10.0,18.64
2004-09-13T09:06:00Z,10.0,14.6
2004-10-13T08:42:00Z,10.0,13.44
2004-11-09T08:34:00Z,10.0,10.27
2004-12-15T09:39:00Z,10.0,6.44
2005-01-18T09:37:00Z,10.0,5.01
2005-02-22T09:48:00Z,10.0,1.94
2005-03-29T09:54:00Z,10.0,2.5
2005-04-26T08:32:00Z,10.0,5.94
2005-05-20T08:36:00Z,10.0,5.02
2005-06-21T08:51:00Z,10.0,10.37
2005-07-28T08:58:00Z,10.0,17.38
2005-08-11T08:42:00Z,10.0,16.81
2005-09-14T10:38:00Z,10.0,17.68
2005-10-26T08:52:00Z,10.0,13.9
2005-11-15T09:57:00Z,10.0,11.91
2005-12-13T10:41:00Z,10.0,6.73
2006-01-17T10:27:00Z,10.0,2.7
2006-02-14T10:31:00Z,10.0,1.56
2006-03-14T11:17:00Z,10.0,1.32
2006-04-21T11:02:00Z,10.0,3.42
2006-05-17T10:26:00Z,10.0,10.31
2006-06-21T11:19:00Z,10.0,13.52
2006-07-27T11:19:00Z,10.0,16.5
2006-08-17T08:59:00Z,10.0,16.11
2006-09-20T00:00:00Z,10.0,16.52
2006-10-11T09:11:00Z,10.0,15.61
2006-11-14T10:14:00Z,10.0,10.58
2006-12-12T08:28:00Z,10.0,8.59
2007-02-22T10:34:00Z,10.0,3.83
2007-03-15T10:31:00Z,10.0,4.41
2007-04-05T10:23:00Z,10.0,6.78
2007-05-04T00:00:00Z,10.0,8.19
2007-05-14T00:00:00Z,10.0,10.05
2007-06-14T11:10:00Z,10.0,15.55
2007-08-16T10:43:00Z,10.0,14.26
2007-09-12T08:53:00Z,10.0,16.02
2007-10-16T08:48:00Z,10.0,13.13
2007-11-13T09:26:00Z,10.0,9.19
2007-12-11T09:35:00Z,10.0,6.84
2008-01-17T09:30:00Z,10.0,4.45
2008-02-19T09:25:00Z,10.0,3.77
2008-04-16T11:48:00Z,10.0,6.38
2008-05-20T10:37:00Z,10.0,13.59
2008-06-24T10:35:00Z,10.0,13.48
2008-07-09T09:35:00Z,10.0,11.3
2008-08-19T15:44:00Z,10.0,15.37
2008-09-15T15:33:00Z,10.0,15.81
2008-09-16T14:49:00Z,10.0,15.42
2008-09-17T14:50:00Z,10.0,15.63
2008-09-18T14:54:00Z,10.0,15.61
2008-10-27T12:45:00Z,10.0,12.45
2008-11-17T10:14:00Z,10.0,9.79
2008-12-08T10:46:00Z,10.0,6.58
2009-01-19T10:25:00Z,10.0,5.04
2009-02-10T10:30:00Z,10.0,2.54
2009-03-02T10:09:00Z,10.0,2.53
2009-04-24T10:08:00Z,10.0,7.74
